중화2동,"74,379","134,129",292,33,"83,135","141,224",280,16,"78,527","133,598",280,16
묵1동,"62,323","112,314",308,28,"59,283","105,600",303,22,"60,928","108,426",303,22
묵2동,"81,085","125,534",291,29,"80,491","122,655",288,30,"78,411","117,068",288,30
망우본동,"30,029","46,654",101,19,"31,740","49,400",100,11,"36,044","55,223",100,11
망우3동,"44,844","67,652",187,18,"44,352","64,760",182,11,"41,730","60,654",182,11
신내1동,"20,968","54,804",171,29,"23,065","61,408",172,18,"23,269","59,798",172,18
신내2동,"30,422","95,201",238,47,"30,006","93,026",233,40,"30,554","92,292",233,40
성북구,"44,626","82,913",176,28,"44,807","82,867",171,45,"43,694","81,279",171,45
성북동,"6,039","20,832",43,11,"6,438","22,770",42,71,"6,406","22,661",42,71
삼선동,"93,383","164,940",309,74,"85,223","149,279",298,72,"83,055","145,780",298,72
동선동,"117,924","184,048",217,87,"106,106","169,866",214,184,"115,231","184,434",214,184
돈암1동,"74,122","160,520",343,21,"59,700","139,560",339,50,"59,639","137,408",339,50
돈암2동,"39,257","110,360",455,18,"70,399","157,605",452,19,"71,419","166,155",452,19
안암동,"41,859","99,279",116,77,"34,216","89,434",49,36,"34,916","88,397",49,36
보문동,"93,251","162,829",305,64,"94,274","165,205",272,126,"83,466","143,960",272,126
정릉1동,"117,602","195,019",433,25,"115,625","190,342",425,32,"108,018","187,870",425,32
정릉2동,"47,114","94,368",211,14,"44,909","89,290",207,15,"44,693","89,923",207,15
정릉3동,"7,614","18,162",49,9,"7,565","16,443",49,8,"7,419","15,996",49,8
정릉4동,"10,131","26,027",72,8,"9,536","24,728",71,6,"9,391","23,947",71,6
길음1동,"83,399","195,538",465,30,"90,404","216,045",457,79,"90,156","217,767",457,79
길음2동,"69,682","131,496",179,28,"88,994","160,460",294,10,"87,587","147,956",294,10
종암동,"64,948","121,996",273,27,"66,507","124,689",270,148,"67,859","124,524",270,148
월곡1동,"62,251","120,975",324,40,"71,612","132,246",321,30,"74,066","138,898",321,30
월곡2동,"54,121","94,980",152,44,"54,831","92,023",150,36,"45,619","78,618",150,36
장위1동,"105,650","125,107",292,15,"101,431","117,631",285,19,"98,506","112,564",285,19
장위2동,"73,148","105,128",223,27,"77,773","108,997",201,26,"64,454","95,655",201,26
장위3동,"38,870","57,545",176,25,"45,385","67,222",171,18,"36,696","54,226",171,18
석관동,"48,902","75,133",185,29,"48,962","74,656",184,21,"50,981","78,470",184,21
강북구,"36,925","61,484",135,16,"37,203","63,058",133,12,"35,922","60,460",133,12
삼양동,"91,219","134,498",280,16,"86,305","131,931",267,11,"86,353","132,650",267,11
미아동,"62,100","129,864",273,36,"63,563","134,428",268,22,"62,846","131,975",268,22
송중동,"97,178","155,111",268,34,"99,518","162,496",278,21,"97,150","159,549",278,21
송천동,"121,406","152,267",315,39,"124,599","158,719",303,20,"116,887","145,849",303,20
삼각산동,"56,977","182,948",549,22,"53,791","194,965",538,21,"56,506","186,117",538,21
