창3동,"59,358","66,846","30,905","52,210","63,676","30,041","57,321","69,503","23,214"
창4동,"104,472","197,535","62,755","103,971","170,262","62,825","102,891","213,494","63,645"
창5동,"80,527","116,445","45,665","121,497","162,602","61,707","97,746","139,605","47,838"
도봉1동,"72,585","79,659","51,806","71,022","79,880","49,219","70,080","69,813","70,950"
도봉2동,"66,313","80,415","44,074","75,610","88,413","61,586","78,878","96,561","53,508"
쌍문1동,"53,619","68,212","31,728","56,475","66,169","32,239","66,833","87,915","30,418"
쌍문2동,"65,985","83,719","37,985","78,030","102,009","43,561","69,178","88,304","39,122"
쌍문3동,"65,855","77,281","34,693","83,792","93,704","54,057","91,811","117,110","41,214"
쌍문4동,"71,652","105,505","50,109","67,467","97,328","51,179","122,494","137,556","92,371"
방학1동,"74,990","97,356","36,968","72,434","84,883","36,218","80,444","97,545","43,224"
방학2동,"56,023","63,022","21,027","49,843","66,879","22,786","85,979","98,968","21,032"
방학3동,"68,854","93,642","37,869","79,221","78,839","79,602","63,926","60,306","66,153"
노원구,"86,306","112,296","54,785","92,816","124,800","54,528","98,608","124,832","68,457"
월계1동,"68,258","82,745","48,339","74,327","97,538","47,451","75,520","104,023","40,231"
월계2동,"76,817","100,954","47,317","75,381","92,116","48,604","98,146","87,467","108,826"
월계3동,"80,577","122,158","55,629","130,078","202,403","57,753","68,689","91,098","49,481"
공릉1동,"79,296","91,652","51,641","73,300","94,435","46,127","85,187","108,172","51,858"
공릉2동,"81,388","104,419","51,776","91,923","106,538","59,253","78,776","94,064","55,844"
하계1동,"69,573","81,425","56,809","81,668","103,594","40,252","85,548","72,492","92,386"
하계2동,,,,,,"68,371",,,"64,292"
중계본동,"79,131","108,322","44,101","89,088","117,302","51,897","113,023","158,470","69,968"
중계1동,"108,329","172,012","58,052","90,904","150,374","53,060","127,159","195,160","91,680"
중계4동,"92,578","128,852","66,669","128,016","219,673","43,410","106,468","136,504","56,408"
중계2.3동,"105,203","158,113","66,011","169,783","235,082","71,836","116,653","217,202","72,936"
